infinitive,1p_sing,2p_sing,3p_sing,1p_plur,2p_plur,3p_plur,definition
вагатися,вагаюсь,вагаєшся,вагається,вагаємось,вагаєтесь,вагаються,"to hesitate, to vacillate, to waver (be indecisive between choices)"
худнути,худну,худнеш,худне,худнемо,худнете,худнуть,"to get thin, to grow thin, to lose weight"
коливатися,коливаюсь,коливаєшся,коливається,коливаємось,коливаєтесь,коливаються,"to oscillate, to vibrate"
стримувати,стримую,стримуєш,стримує,стримуємо,стримуєте,стримують,"to restrain, to curb, to check, to hold in check, to keep in check, to hold back, to keep back"
обмірковувати,обмірковую,обмірковуєш,обмірковує,обмірковуємо,обмірковуєте,обмірковують,"to think over, to ponder, to consider, to cogitate, to reflect, to deliberate (on/upon/over)"
обдумувати,обдумую,обдумуєш,обдумує,обдумуємо,обдумуєте,обдумують,"to think over, to ponder, to consider, to cogitate, to reflect, to deliberate (on/upon/over)"
міркувати,міркую,міркуєш,міркує,міркуємо,міркуєте,міркують,"to think (over), to consider, to cogitate, to reflect, to deliberate (on/upon/over)"
виробляти,виробляю,виробляєш,виробляє,виробляємо,виробляєте,виробляють,"to manufacture, to produce, to make"
різнити,різню,різниш,різнить,різнимо,різните,різнять,"to differentiate, to make a distinction (between)"
висловлюватися,висловлююсь,висловлюєшся,висловлюється,висловлюємось,висловлюєтесь,висловлюються,to express oneself
вирізнятися,вирізняюсь,вирізняєшся,вирізняється,вирізняємось,вирізняєтесь,вирізняються,"to be distinguished (by) (+ instrumental), to stand out, to be notable (for)"
нервуватися,нервуюсь,нервуєшся,нервується,нервуємось,нервуєтесь,нервуються,to be nervous
виступати,виступаю,виступаєш,виступає,виступаємо,виступаєте,виступають,"to step forth, to step forward, to come forward"
виявляти,виявляю,виявляєш,виявляє,виявляємо,виявляєте,виявляють,"to show, to manifest, to display, to evince"
нудьгувати,нудьгую,нудьгуєш,нудьгує,нудьгуємо,нудьгуєте,нудьгують,"to be bored, to feel bored"
напружувати,напружую,напружуєш,напружує,напружуємо,напружуєте,напружують,"to strain, to tense, to exert, to tax"
тривати,триваю,триваєш,триває,триваємо,триваєте,тривають,"to last, to endure, to continue"
марнувати,марную,марнуєш,марнує,марнуємо,марнуєте,марнують,"to waste, to squander, to dissipate"
міряти,міряю,міряєш,міряє,міряємо,міряєте,міряють,to measure
прогулювати,прогулюю,прогулюєш,прогулює,прогулюємо,прогулюєте,прогулюють,"to walk, to take for a walk (:children, pets)"
викреслювати,викреслюю,викреслюєш,викреслює,викреслюємо,викреслюєте,викреслюють,"to cross out, to strike out, to delete, to efface, to expunge"
марнотратити,марнотрачу,марнотратиш,марнотратить,марнотратимо,марнотратите,марнотратять,"to squander, to waste, to dissipate"
діставати,дістаю,дістаєш,дістає,дістаємо,дістаєте,дістають,"to fetch, to take, to take out"
діставатися,дістаюсь,дістаєшся,дістається,дістаємось,дістаєтесь,дістаються,to fall to one's share; to fall to one's lot
усувати,усуваю,усуваєш,усуває,усуваємо,усуваєте,усувають,"to eliminate, to remove (get rid of something)"
усувати,усуваю,усуваєш,усуває,усуваємо,усуваєте,усувають,Alternative form of всува́ти (vsuváty)
унеможливлювати,унеможливлюю,унеможливлюєш,унеможливлює,унеможливлюємо,унеможливлюєте,унеможливлюють,"to make impossible, to render impossible, to prevent"
обґрунтовувати,обґрунтовую,обґрунтовуєш,обґрунтовує,обґрунтовуємо,обґрунтовуєте,обґрунтовують,"to substantiate, to justify (supply evidence or reasoning in support of a proposition)"
вчити,вчу,вчиш,вчить,вчимо,вчите,вчать,to teach (with person in accusative case + noun in genitive case or + infinitive)
шантажувати,шантажую,шантажуєш,шантажує,шантажуємо,шантажуєте,шантажують,to blackmail
