infinitive,1p_sing,2p_sing,3p_sing,1p_plur,2p_plur,3p_plur,definition
мати,маю,маєш,має,маємо,маєте,мають,to have
радити,раджу,радиш,радить,радимо,радите,радять,"to advise, to counsel, to recommend (somebody to do something — кому́сь (dative) + infinitive)"
продавати,продаю,продаєш,продає,продаємо,продаєте,продають,to sell (to agree to transfer goods or provide services)
слати,шлю,шлеш,шле,шлемо,шлете,шлють,to send
слати,стелю,стелеш,стеле,стелемо,стелете,стелють,"to spread, to lay, to make (bed)"
правити,правлю,правиш,править,правимо,правите,правлять,"to rule, to govern (+ insturmental)"
пити,п'ю,п'єш,п'є,п'ємо,п'єте,п'ють,to drink
мислити,мислю,мислиш,мислить,мислимо,мислите,мислять,to think
судити,суджу,судиш,судить,судимо,судите,судять,"to judge, to try, to adjudicate"
питати,питаю,питаєш,питає,питаємо,питаєте,питають,to ask
учити,учу,учиш,учить,учимо,учите,учать,to teach (with person in accusative case + noun in genitive case or + infinitive)
чути,чую,чуєш,чує,чуємо,чуєте,чують,to hear
ловити,ловлю,ловиш,ловить,ловимо,ловите,ловлять,to catch (to seize or intercept an object moving through the air or some other medium)
читати,читаю,читаєш,читає,читаємо,читаєте,читають,to read
орати,орю,ореш,оре,оремо,орете,орють,"to plough/plow, to till"
бити,б'ю,б'єш,б'є,б'ємо,б'єте,б'ють,"to beat, to hit, to strike"
почивати,почиваю,почиваєш,почиває,почиваємо,почиваєте,почивають,"to rest, to fall asleep"
лежати,лежу,лежиш,лежить,лежимо,лежите,лежать,to lie (to be in a horizontal position; usually followed by the preposition на and the locative case)
хвалити,хвалю,хвалиш,хвалить,хвалимо,хвалите,хвалять,"to praise, to commend, to compliment, to laud"
плакати,плачу,плачеш,плаче,плачемо,плачете,плачуть,"to cry, to weep"
просити,прошу,просиш,просить,просимо,просите,просять,"to ask for, to beg for"
ходити,ходжу,ходиш,ходить,ходимо,ходите,ходять,to go
любити,люблю,любиш,любить,любимо,любите,люблять,"to like, to love (platonically or aesthetically)"
благословити,благословлю,благословиш,благословить,благословимо,благословите,благословлять,Synonym of благословля́ти impf (blahoslovljáty)
кричати,кричу,кричиш,кричить,кричимо,кричите,кричать,"to shout, to cry, to holler, to yell"
творити,творю,твориш,творить,творимо,творите,творять,"to create, make, produce"
казати,кажу,кажеш,каже,кажемо,кажете,кажуть,"to say, to tell"
пасти,пасу,пасеш,пасе,пасемо,пасете,пасуть,"to graze, to pasture, to shepherd"
мазати,мажу,мажеш,маже,мажемо,мажете,мажуть,"to smear, to spread"
класти,кладу,кладеш,кладе,кладемо,кладете,кладуть,"to put, to place, to lay"
точити,точу,точиш,точить,точимо,точите,точать,"to cause to flow, to cause to run, to flow"
точити,точу,точиш,точить,точимо,точите,точать,"to sharpen, to hone, to whet"
точити,точу,точиш,точить,точимо,точите,точать,"to sift, to sieve, to strain (to remove inedible parts from wheat, peas, rice etc. by sifting)"
гонити,гоню,гониш,гонить,гонимо,гоните,гонять,"to chase, to pursue"
чистити,чищу,чистиш,чистить,чистимо,чистите,чистять,to clean
красти,краду,крадеш,краде,крадемо,крадете,крадуть,to steal
палити,палю,палиш,палить,палимо,палите,палять,to burn (to cause to be consumed by fire)
корити,корю,кориш,корить,коримо,корите,корять,"to scold, to reprimand, to criticize"
говорити,говорю,говориш,говорить,говоримо,говорите,говорять,"to speak, to talk"
нести,несу,несеш,несе,несемо,несете,несуть,to carry (on foot)
садити,саджу,садиш,садить,садимо,садите,садять,to plant (place in soil)
плести,плету,плетеш,плете,плетемо,плетете,плетуть,"to braid, to plait"
жити,живу,живеш,живе,живемо,живете,живуть,to live
водити,воджу,водиш,водить,водимо,водите,водять,"to lead, to conduct"
носити,ношу,носиш,носить,носимо,носите,носять,to carry
брати,беру,береш,бере,беремо,берете,беруть,"to take, to grab; but while брати is generic, дістати means ""to take out (from, e.g. the fridge or a box)"" and it is followed by the preposition з."
стенати,стенаю,стенаєш,стенає,стенаємо,стенаєте,стенають,"to groan, to wail, to weep"
стенати,стенаю,стенаєш,стенає,стенаємо,стенаєте,стенають,to shrug
рити,рию,риєш,риє,риємо,риєте,риють,"to dig, to excavate"
рити,рию,риєш,риє,риємо,риєте,риють,to engrave
лити,ллю,ллєш,ллє,ллємо,ллєте,ллють,to pour
знати,знаю,знаєш,знає,знаємо,знаєте,знають,to know
вести,веду,ведеш,веде,ведемо,ведете,ведуть,"to lead, to conduct"
готовити,готовлю,готовиш,готовить,готовимо,готовите,готовлять,"to prepare, to make ready, to arrange"
мести,мету,метеш,мете,метемо,метете,метуть,to sweep
чесати,чешу,чешеш,чеше,чешемо,чешете,чешуть,to comb (hair)
плавати,плаваю,плаваєш,плаває,плаваємо,плаваєте,плавають,to swim
падати,падаю,падаєш,падає,падаємо,падаєте,падають,to drop
копати,копаю,копаєш,копає,копаємо,копаєте,копають,to dig
копати,копаю,копаєш,копає,копаємо,копаєте,копають,to kick
лизати,лижу,лижеш,лиже,лижемо,лижете,лижуть,to lick
томити,томлю,томиш,томить,томимо,томите,томлять,"to tire, to exhaust, to wear out"
гнити,гнию,гниєш,гниє,гниємо,гниєте,гниють,"to rot, to putrefy, to go bad, to decay, to decompose"
бачити,бачу,бачиш,бачить,бачимо,бачите,бачать,to see (perceive with the eyes)
ставити,ставлю,ставиш,ставить,ставимо,ставите,ставлять,"to put, to place, to set"
шити,шию,шиєш,шиє,шиємо,шиєте,шиють,to sew
молити,молю,молиш,молить,молимо,молите,молять,"to implore, to entreat, to beseech"
істи,ім,іси,ість,імо,істе,ідять,to eat (consume)
нападати,нападаю,нападаєш,нападає,нападаємо,нападаєте,нападають,"to attack, to assault, to descend (on), to fall upon"
кувати,кую,куєш,кує,куємо,куєте,кують,to forge
кувати,кую,куєш,кує,куємо,куєте,кують,to cuckoo (to make a sound of a cuckoo)
слухати,слухаю,слухаєш,слухає,слухаємо,слухаєте,слухають,"to listen, to hear"
кохати,кохаю,кохаєш,кохає,кохаємо,кохаєте,кохають,"To love, to have a strong romantic or sexual affection for someone."
увозити,увожу,увозиш,увозить,увозимо,увозите,увозять,Alternative form of вво́зити impf (vvózyty).
давати,даю,даєш,дає,даємо,даєте,дають,to give
чинити,чиню,чиниш,чинить,чинимо,чините,чинять,"to do, to make"
чинити,чиню,чиниш,чинить,чинимо,чините,чинять,"to tan, to dress (:leather)"
мучити,мучу,мучиш,мучить,мучимо,мучите,мучать,"to torture, to torment, to rack, to excruciate (inflict severe physical pain or mental suffering on)"
возити,вожу,возиш,возить,возимо,возите,возять,"to carry (by vehicle), to transport, to haul"
стигнути,стигну,стигнеш,стигне,стигнемо,стигнете,стигнуть,"to ripen, to mature"
стигнути,стигну,стигнеш,стигне,стигнемо,стигнете,стигнуть,to cool
славити,славлю,славиш,славить,славимо,славите,славлять,to glorify
заводити,заводжу,заводиш,заводить,заводимо,заводите,заводять,"to take, to bring, to lead"
прати,перу,переш,пере,перемо,перете,перуть,"to wash, to launder (remove dirt from clothes, fabrics etc.)"
помагати,помагаю,помагаєш,помагає,помагаємо,помагаєте,помагають,"to help, aid, assist"
никнути,никну,никнеш,никне,никнемо,никнете,никнуть,"to bend downward, to wilt, to droop"
уносити,уношу,уносиш,уносить,уносимо,уносите,уносять,Alternative form of вно́сити impf (vnósyty).
ступати,ступаю,ступаєш,ступає,ступаємо,ступаєте,ступають,"to step, to tread"
наступати,наступаю,наступаєш,наступає,наступаємо,наступаєте,наступають,"to step on, to tread on"
тонути,тону,тонеш,тоне,тонемо,тонете,тонуть,to drown
топити,топлю,топиш,топить,топимо,топите,топлять,to melt
топити,топлю,топиш,топить,топимо,топите,топлять,to drown (to kill by suffocating in water of other liquid)
хватати,хватаю,хватаєш,хватає,хватаємо,хватаєте,хватають,"to grab, to grasp, to seize, to snatch"
брести,бреду,бредеш,бреде,бредемо,бредете,бредуть,"to plod, to slog, to trudge, to lumber"
солити,солю,солиш,солить,солимо,солите,солять,to salt
скубти,скубу,скубеш,скубе,скубемо,скубете,скубуть,"to pull, to tug"
бавити,бавлю,бавиш,бавить,бавимо,бавите,бавлять,"to entertain, to amuse"
губити,гублю,губиш,губить,губимо,губите,гублять,"to lose (cause to cease to be in one's possession or capability due to unfortunate or unknown circumstances, events or reasons)"
будити,буджу,будиш,будить,будимо,будите,будять,"to wake up, to awaken, to waken, to wake"
гасити,гашу,гасиш,гасить,гасимо,гасите,гасять,"to extinguish, to put out"
чекати,чекаю,чекаєш,чекає,чекаємо,чекаєте,чекають,to wait
чекати,чекаю,чекаєш,чекає,чекаємо,чекаєте,чекають,"To check (ascertain the presence, quality, or accuracy of)."
купати,купаю,купаєш,купає,купаємо,купаєте,купають,"to bath, to bathe"
доносити,доношу,доносиш,доносить,доносимо,доносите,доносять,"to carry, to bring (to a place)"
додавати,додаю,додаєш,додає,додаємо,додаєте,додають,to add
припадати,припадаю,припадаєш,припадає,припадаємо,припадаєте,припадають,"to fall at something/someone, to get closer to something./smb., to lean on something/someone"
доводити,доводжу,доводиш,доводить,доводимо,доводите,доводять,"to bring, to lead, to accompany (:somebody to a place)"
скидати,скидаю,скидаєш,скидає,скидаємо,скидаєте,скидають,"to throw off, to cast off"
селити,селю,селиш,селить,селимо,селите,селять,"to settle, to lodge (:people on a territory or in a dwelling)"
платити,плачу,платиш,платить,платимо,платите,платять,to pay (give money or other compensation in exchange for goods or services)
срати,серу,сереш,сере,серемо,серете,серуть,"to shit, to defecate"
писати,пишу,пишеш,пише,пишемо,пишете,пишуть,to write
покривати,покриваю,покриваєш,покриває,покриваємо,покриваєте,покривають,"to cover, to cover over"
крити,крию,криєш,криє,криємо,криєте,криють,to hide
драти,деру,дереш,дере,деремо,дерете,деруть,Alternative form of де́рти (dérty)
множити,множу,множиш,множить,множимо,множите,множать,"to multiply, to times"
ширити,ширю,шириш,ширить,ширимо,ширите,ширять,"to widen, to broaden"
значити,значу,значиш,значить,значимо,значите,значать,"to mean, to signify"
важити,важу,важиш,важить,важимо,важите,важать,to weigh
ткати,тчу,тчеш,тче,тчемо,тчете,тчуть,to weave
служити,служу,служиш,служить,служимо,служите,служать,to serve
нудити,нуджу,нудиш,нудить,нудимо,нудите,нудять,to bore
клонити,клоню,клониш,клонить,клонимо,клоните,клонять,"to bend, to incline, to lean, to tilt"
співати,співаю,співаєш,співає,співаємо,співаєте,співають,to sing
пазити,пазю,пазиш,пазить,пазимо,пазите,пазять,"to observe, to watch, to keep an eye on"
уживати,уживаю,уживаєш,уживає,уживаємо,уживаєте,уживають,"to use, to make use of"
кидати,кидаю,кидаєш,кидає,кидаємо,кидаєте,кидають,"to throw, to cast, to fling"
плутати,плутаю,плутаєш,плутає,плутаємо,плутаєте,плутають,"to tangle, to entangle"
покидати,покидаю,покидаєш,покидає,покидаємо,покидаєте,покидають,to leave (not take away)
косити,кошу,косиш,косить,косимо,косите,косять,"to scythe, to reap, to mow"
косити,кошу,косиш,косить,косимо,косите,косять,to squint (eyes)
мочити,мочу,мочиш,мочить,мочимо,мочите,мочать,"to wet, to moisten"
котити,кочу,котиш,котить,котимо,котите,котять,to roll (to impel forward by causing to turn over and over on a supporting surface)
мотати,мотаю,мотаєш,мотає,мотаємо,мотаєте,мотають,"to reel, to wind, to roll, to wrap"
владати,владаю,владаєш,владає,владаємо,владаєте,владають,"to own, to possess, to have, to be in possession of"
прозивати,прозиваю,прозиваєш,прозиває,прозиваємо,прозиваєте,прозивають,to nickname (somebody something: кого́сь (accusative) чи́мось (instrumental))
називати,називаю,називаєш,називає,називаємо,називаєте,називають,"to name, to call (somebody something: кого́сь (accusative) чи́мось (instrumental))"
звати,зову,зовеш,зове,зовемо,зовете,зовуть,to call
жалити,жалю,жалиш,жалить,жалимо,жалите,жалять,to sting (of plants and animals)
низати,нижу,нижеш,ниже,нижемо,нижете,нижуть,to string
задавати,задаю,задаєш,задає,задаємо,задаєте,задають,"to set, to assign, to give (:task, duty, exercise, lesson, etc.)"
бажати,бажаю,бажаєш,бажає,бажаємо,бажаєте,бажають,"to desire, to want, to wish"
працювати,працюю,працюєш,працює,працюємо,працюєте,працюють,to work (physically or mentally)
прикривати,прикриваю,прикриваєш,прикриває,прикриваємо,прикриваєте,прикривають,to cover
марити,марю,мариш,марить,маримо,марите,марять,"to dream (to hope, to wish)"
гаснути,гасну,гаснеш,гасне,гаснемо,гаснете,гаснуть,"to go out (of fire, light)"
сушити,сушу,сушиш,сушить,сушимо,сушите,сушать,to dry (make dry; remove moisture from)
трясти,трясу,трясеш,трясе,трясемо,трясете,трясуть,to shake
ранити,раню,раниш,ранить,ранимо,раните,ранять,"to wound, to injure"
батярувати,батярую,батяруєш,батярує,батяруємо,батяруєте,батярують,to keep the company of ruffians
мирити,мирю,мириш,мирить,миримо,мирите,мирять,to reconcile
шкодити,шкоджу,шкодиш,шкодить,шкодимо,шкодите,шкодять,"to harm, to hurt, to injure, to damage"
квасити,квашу,квасиш,квасить,квасимо,квасите,квасять,"to ferment, to sour"
чувати,чуваю,чуваєш,чуває,чуваємо,чуваєте,чувають,to hear
гинути,гину,гинеш,гине,гинемо,гинете,гинуть,to perish
погибати,погибаю,погибаєш,погибає,погибаємо,погибаєте,погибають,"to perish, to die (lose one's life, especially in a sudden violent way)"
спати,сплю,спиш,спить,спимо,спите,сплять,to sleep
складати,складаю,складаєш,складає,складаємо,складаєте,складають,"to lay together, to put together, to assemble"
везти,везу,везеш,везе,веземо,везете,везуть,"to carry (by vehicle), to transport, to haul"
ригати,ригаю,ригаєш,ригає,ригаємо,ригаєте,ригають,to vomit
ридати,ридаю,ридаєш,ридає,ридаємо,ридаєте,ридають,"to blubber, to weep, to sob, to cry"
киснути,кисну,киснеш,кисне,киснемо,киснете,киснуть,"to ferment, to sour"
тужити,тужу,тужиш,тужить,тужимо,тужите,тужать,"to grieve, to mourn, to bewail, to sorrow, to eat one's heart out"
притискати,притискаю,притискаєш,притискає,притискаємо,притискаєте,притискають,to press
сварити,сварю,свариш,сварить,сваримо,сварите,сварять,"to scold, to tell off, to admonish, to chide, to rip into"
збивати,збиваю,збиваєш,збиває,збиваємо,збиваєте,збивають,to knock down
стискати,стискаю,стискаєш,стискає,стискаємо,стискаєте,стискають,"to pinch, squeeze, compress"
стругати,стружу,стружеш,струже,стружемо,стружете,стружуть,"to plane, to whittle, to adze, to shave (to remove thin slices off wood, metal, etc., with a sharp tool)"
вадити,ваджу,вадиш,вадить,вадимо,вадите,вадять,"to hinder, to obstruct, to hamper, to be in the way (with dative)"
тискати,тискаю,тискаєш,тискає,тискаємо,тискаєте,тискають,"to squeeze, to press"
метати,метаю,метаєш,метає,метаємо,метаєте,метають,"to throw, to cast, to lob, to fling"
метати,метаю,метаєш,метає,метаємо,метаєте,метають,"to baste, to tack"
заходити,заходжу,заходиш,заходить,заходимо,заходите,заходять,"to come in, to go in, to enter"
махати,махаю,махаєш,махає,махаємо,махаєте,махають,to flap
варити,варю,вариш,варить,варимо,варите,варять,"to boil, to cook (by boiling)"
лучити,лучу,лучиш,лучить,лучимо,лучите,лучать,to aim (at)
лучити,лучу,лучиш,лучить,лучимо,лучите,лучать,to unite
проводити,проводжу,проводиш,проводить,проводимо,проводите,проводять,to see off (accompany someone to a point of departure)
дружити,дружу,дружиш,дружить,дружимо,дружите,дружать,"to be friends (with), to be on friendly terms (with)"
вити,вию,виєш,виє,виємо,виєте,виють,to howl
вити,в'ю,в'єш,в'є,в'ємо,в'єте,в'ють,"to twist, to wind"
ронити,роню,рониш,ронить,ронимо,роните,ронять,to shed
дробити,дроблю,дробиш,дробить,дробимо,дробите,дроблять,"to crush, to comminute, to pulverize, to smash"
хулити,хулю,хулиш,хулить,хулимо,хулите,хулять,"to decry, to reprove, to rebuke, to reproach"
лазити,лажу,лазиш,лазить,лазимо,лазите,лазять,"to climb (up, on to), to scramble"
лякати,лякаю,лякаєш,лякає,лякаємо,лякаєте,лякають,"to scare, to frighten"
хворіти,хворію,хворієш,хворіє,хворіємо,хворієте,хворіють,"to be ill, to be sick"
розуміти,розумію,розумієш,розуміє,розуміємо,розумієте,розуміють,"to understand, to comprehend"
танцювати,танцюю,танцюєш,танцює,танцюємо,танцюєте,танцюють,to dance
розташовувати,розташовую,розташовуєш,розташовує,розташовуємо,розташовуєте,розташовують,"to place, to put down, to put (an object or person) in a specific location"
журити,журю,журиш,журить,журимо,журите,журять,"to afflict, to grieve, to sadden (cause sorrow or distress to)"
сипати,сиплю,сиплеш,сипле,сиплемо,сиплете,сиплють,"to pour, strew (of friable substances)"
грозити,грожу,грозиш,грозить,грозимо,грозите,грозять,"to threaten, to make threats"
карати,караю,караєш,карає,караємо,караєте,карають,"to punish, chastise, castigate"
умирати,умираю,умираєш,умирає,умираємо,умираєте,умирають,to die
тесати,тешу,тешеш,теше,тешемо,тешете,тешуть,to chop away the surface level (with a sharp tool)
робити,роблю,робиш,робить,робимо,робите,роблять,"to do, to make"
тупити,туплю,тупиш,тупить,тупимо,тупите,туплять,"to dull, to blunt"
іздити,іжджу,іздиш,іздить,іздимо,іздите,іздять,to go (by transport)
іхати,іду,ідеш,іде,ідемо,ідете,ідуть,"to go (by vehicle), to drive, to ride"
описувати,описую,описуєш,описує,описуємо,описуєте,описують,to describe
звинувачувати,звинувачую,звинувачуєш,звинувачує,звинувачуємо,звинувачуєте,звинувачують,to accuse
привозити,привожу,привозиш,привозить,привозимо,привозите,привозять,"to bring (a thing or person, by vehicle)"
приносити,приношу,приносиш,приносить,приносимо,приносите,приносять,"to bring, to fetch (a thing, on foot)"
гладити,гладжу,гладиш,гладить,гладимо,гладите,гладять,to smooth (with one's hand)
приводити,приводжу,приводиш,приводить,приводимо,приводите,приводять,"to bring, to lead, to take (a person, on foot)"
кресати,крешу,крешеш,креше,крешемо,крешете,крешуть,to strike fire
шукати,шукаю,шукаєш,шукає,шукаємо,шукаєте,шукають,"to look for, to seek, to search"
мити,мию,миєш,миє,миємо,миєте,миють,"to wash (body parts, cutlery and other objects but not clothes: see прати)"
досягати,досягаю,досягаєш,досягає,досягаємо,досягаєте,досягають,"to achieve, to attain, to reach"
вирішувати,вирішую,вирішуєш,вирішує,вирішуємо,вирішуєте,вирішують,to decide
будувати,будую,будуєш,будує,будуємо,будуєте,будують,"to build, to construct"
дзвонити,дзвоню,дзвониш,дзвонить,дзвонимо,дзвоните,дзвонять,to produce sound
крутити,кручу,крутиш,крутить,крутимо,крутите,крутять,"to spin, to turn, to rotate"
ложити,ложу,ложиш,ложить,ложимо,ложите,ложать,"to lay, to put, to place"
допомагати,допомагаю,допомагаєш,допомагає,допомагаємо,допомагаєте,допомагають,"to help, to assist"
дякувати,дякую,дякуєш,дякує,дякуємо,дякуєте,дякують,to thank
ити,иду,идеш,иде,идемо,идете,идуть,Alternative form of іти́ (itý)
іти,іду,ідеш,іде,ідемо,ідете,ідуть,"to go (on foot), to walk (to)"
кликати,кличу,кличеш,кличе,кличемо,кличете,кличуть,to call
заливати,заливаю,заливаєш,заливає,заливаємо,заливаєте,заливають,to flood (with liquid)
рости,росту,ростеш,росте,ростемо,ростете,ростуть,to grow
простирати,простираю,простираєш,простирає,простираємо,простираєте,простирають,"to stretch out, to stick out, to extend (one's hand(s))"
боліти,болію,болієш,боліє,боліємо,болієте,боліють,"to be sick, to be ill, to be ailing"
купувати,купую,купуєш,купує,купуємо,купуєте,купують,"to buy, to purchase"
касувати,касую,касуєш,касує,касуємо,касуєте,касують,"to abolish, to cancel, to abrogate, to annul, to reverse (a decision)."
приимати,приимаю,приимаєш,приимає,приимаємо,приимаєте,приимають,"to accept (a gift, an excuse, etc.)"
силити,силю,силиш,силить,силимо,силите,силять,to thread (a needle)
рвати,рву,рвеш,рве,рвемо,рвете,рвуть,"to tear (apart), to rip (apart), to rend"
ганяти,ганяю,ганяєш,ганяє,ганяємо,ганяєте,ганяють,"to chase, to pursue"
мутити,мучу,мутиш,мутить,мутимо,мутите,мутять,"to muddy, to make muddy"
гнати,жену,женеш,жене,женемо,женете,женуть,"to chase, to pursue, to chivvy"
набирати,набираю,набираєш,набирає,набираємо,набираєте,набирають,"to collect, to gather"
жартувати,жартую,жартуєш,жартує,жартуємо,жартуєте,жартують,to joke
дбати,дбаю,дбаєш,дбає,дбаємо,дбаєте,дбають,"to care, to look after, to take care"
хотіти,хочу,хоч,хоче,хочемо,хочте,хочуть,to want
думати,думаю,думаєш,думає,думаємо,думаєте,думають,to think
дивитися,дивлюсь,дивишся,дивиться,дивимось,дивитесь,дивляться,"to watch, to look (at)"
бувати,буваю,буваєш,буває,буваємо,буваєте,бувають,to be
господарити,господарю,господариш,господарить,господаримо,господарите,господарять,to keep house
нити,нию,ниєш,ниє,ниємо,ниєте,ниють,"to whine, to yammer"
наводити,наводжу,наводиш,наводить,наводимо,наводите,наводять,to bring
давити,давлю,давиш,давить,давимо,давите,давлять,"to crush, to trample"
ібати,ібу,ібеш,ібе,ібемо,ібете,ібуть,to fuck
тикати,тикаю,тикаєш,тикає,тикаємо,тикаєте,тикають,to stick in/into
тикати,тикаю,тикаєш,тикає,тикаємо,тикаєте,тикають,"to address with the informal T-form, to thou"
уставати,устаю,устаєш,устає,устаємо,устаєте,устають,"to stand up, to get up, to rise"
вставати,встаю,встаєш,встає,встаємо,встаєте,встають,"to stand up, to get up, to rise"
довіряти,довіряю,довіряєш,довіряє,довіряємо,довіряєте,довіряють,"to trust (smb.), to confide (in smb.)"
відчиняти,відчиняю,відчиняєш,відчиняє,відчиняємо,відчиняєте,відчиняють,"to open (a door, a window)"
входити,входжу,входиш,входить,входимо,входите,входять,to enter
приходити,приходжу,приходиш,приходить,приходимо,приходите,приходять,"to arrive, to come"
тягти,тягну,тягнеш,тягне,тягнемо,тягнете,тягнуть,"to drag, to pull"
тягати,тягаю,тягаєш,тягає,тягаємо,тягаєте,тягають,"to drag, to pull"
тягнути,тягну,тягнеш,тягне,тягнемо,тягнете,тягнуть,"to drag, to pull"
потягати,потягаю,потягаєш,потягає,потягаємо,потягаєте,потягають,
запевняти,запевняю,запевняєш,запевняє,запевняємо,запевняєте,запевняють,"to assure, to convince, to persuade, to reassure"
поглинати,поглинаю,поглинаєш,поглинає,поглинаємо,поглинаєте,поглинають,to absorb
скорочувати,скорочую,скорочуєш,скорочує,скорочуємо,скорочуєте,скорочують,"to abbreviate, to abridge, to shorten"
ставати,стаю,стаєш,стає,стаємо,стаєте,стають,to become
доіжджати,доіжджаю,доіжджаєш,доіжджає,доіжджаємо,доіжджаєте,доіжджають,"to arrive (at), to reach"
доходити,доходжу,доходиш,доходить,доходимо,доходите,доходять,"to arrive (at), to reach"
матися,маюсь,маєшся,мається,маємось,маєтесь,маються,"to be, to have"
бекати,бекаю,бекаєш,бекає,бекаємо,бекаєте,бекають,"to bleat, to baa (of goats or sheep)"
блискати,блискаю,блискаєш,блискає,блискаємо,блискаєте,блискають,"to sparkle, to scintillate, to glitter, to glint"
молоти,мелю,мелеш,меле,мелемо,мелете,мелють,"to grind, to mill"
кути,кую,куєш,кує,куємо,куєте,кують,"Alternative form of кува́ти (kuváty) to forge, to smith"
тяти,тну,тнеш,тне,тнемо,тнете,тнуть,"to cut, to chop"
грясти,гряду,грядеш,гряде,грядемо,грядете,грядуть,"to come, to begin (of time, period, event)"
колоти,колю,колеш,коле,колемо,колете,колють,"to prick, to pierce"
мешкати,мешкаю,мешкаєш,мешкає,мешкаємо,мешкаєте,мешкають,"to live, to reside (to have permanent residence)"
включати,включаю,включаєш,включає,включаємо,включаєте,включають,"to switch on, to turn on (to turn a switch to the ""on"" position)"
виключати,виключаю,виключаєш,виключає,виключаємо,виключаєте,виключають,to exclude
вмикати,вмикаю,вмикаєш,вмикає,вмикаємо,вмикаєте,вмикають,"to switch on, to turn on (to turn a switch to the ""on"" position)"
вимикати,вимикаю,вимикаєш,вимикає,вимикаємо,вимикаєте,вимикають,"to switch off, to turn off (to turn a switch to the ""off"" position)"
перти,пру,преш,пре,премо,прете,пруть,"to move, to trudge, to drag the feet"
сподіватися,сподіваюсь,сподіваєшся,сподівається,сподіваємось,сподіваєтесь,сподіваються,to hope
співпрацювати,співпрацюю,співпрацюєш,співпрацює,співпрацюємо,співпрацюєте,співпрацюють,"to cooperate, to collaborate"
уявляти,уявляю,уявляєш,уявляє,уявляємо,уявляєте,уявляють,to imagine
згадувати,згадую,згадуєш,згадує,згадуємо,згадуєте,згадують,"to recall, to recollect, to remember (retrieve from memory)"
розмовляти,розмовляю,розмовляєш,розмовляє,розмовляємо,розмовляєте,розмовляють,"to talk, to speak, to converse, to chat"
брити,брию,бриєш,бриє,бриємо,бриєте,бриють,to shave
подобатися,подобаюсь,подобаєшся,подобається,подобаємось,подобаєтесь,подобаються,to like (the person who likes takes the dative case; the person or thing liked takes the nominative case)
враховувати,враховую,враховуєш,враховує,враховуємо,враховуєте,враховують,"to take into account, to take into consideration, to factor in"
нищити,нищу,нищиш,нищить,нищимо,нищите,нищать,"to destroy, to obliterate, to annihilate, to eliminate"
захоплюватися,захоплююсь,захоплюєшся,захоплюється,захоплюємось,захоплюєтесь,захоплюються,"to get carried away, to get excited"
настроювати,настроюю,настроюєш,настроює,настроюємо,настроюєте,настроюють,to tune
строіти,строю,строіш,строіть,строімо,строіте,строять,"to prepare, to arrange"
терти,тру,треш,тре,тремо,трете,труть,"to rub, to grind"
обожнювати,обожнюю,обожнюєш,обожнює,обожнюємо,обожнюєте,обожнюють,"to apotheosize, to deify, to divinize"
брехати,брешу,брешеш,бреше,брешемо,брешете,брешуть,to lie
чаклувати,чаклую,чаклуєш,чаклує,чаклуємо,чаклуєте,чаклують,"to conjure, to practice witchcraft, to use magic"
здріти,здрю,здриш,здрить,здримо,здрите,здрять,to see
малювати,малюю,малюєш,малює,малюємо,малюєте,малюють,to draw
жлуктити,жлучу,жлуктиш,жлуктить,жлуктимо,жлуктите,жлуктять,to bleach clothes in a tub for bucking
жлуктати,жлучу,жлучеш,жлуче,жлучемо,жлучете,жлучуть,to drink greedily
заздрити,заздрю,заздриш,заздрить,заздримо,заздрите,заздрять,to envy
зріти,зрію,зрієш,зріє,зріємо,зрієте,зріють,to ripen
зріти,зрю,зриш,зрить,зримо,зрите,зрять,to see
ссати,ссу,ссеш,ссе,ссемо,ссете,ссуть,to suck
пхати,пхаю,пхаєш,пхає,пхаємо,пхаєте,пхають,"to push, to shove"
гаяти,гаю,гаєш,гає,гаємо,гаєте,гають,"to detain, to keep back, to stop (somebody)"
гуляти,гуляю,гуляєш,гуляє,гуляємо,гуляєте,гуляють,to walk
грати,граю,граєш,грає,граємо,граєте,грають,to play a musical instrument
навидіти,навиджу,навидиш,навидить,навидимо,навидите,навидять,to love
навидіти,навиджу,навидиш,навидить,навидимо,навидите,навидять,to notice
цілувати,цілую,цілуєш,цілує,цілуємо,цілуєте,цілують,to kiss
мріяти,мрію,мрієш,мріє,мріємо,мрієте,мріють,"to dream, to wish"
летіти,лечу,летиш,летить,летимо,летите,летять,to fly
сидіти,сиджу,сидиш,сидить,сидимо,сидите,сидять,to sit
втрачати,втрачаю,втрачаєш,втрачає,втрачаємо,втрачаєте,втрачають,to lose
сяти,сяю,сяєш,сяє,сяємо,сяєте,сяють,alternative form of сяя́ти (sjajáty)
сяяти,сяю,сяєш,сяє,сяємо,сяєте,сяють,"to shine, to glitter, to beam, to be bright, to glow"
вишити,вишию,вишиєш,вишиє,вишиємо,вишиєте,вишиють,to embroider
гоститися,гощусь,гостишся,гоститься,гостимось,гоститесь,гостяться,"to make oneself at home, to party"
куштувати,куштую,куштуєш,куштує,куштуємо,куштуєте,куштують,"to taste, to try (to sample the flavor of something orally)"
пам'ятати,пам'ятаю,пам'ятаєш,пам'ятає,пам'ятаємо,пам'ятаєте,пам'ятають,to remember
позичати,позичаю,позичаєш,позичає,позичаємо,позичаєте,позичають,to borrow
